Playlist Name: EDC Las Vegas Guest Mix,Song Name,Spotify ID,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
24,Bizness,09JgeEUp7ch8Hv1PYtc9YI,0.0973,https://api.spotify.com/v1/audio-analysis/09JgeEUp7ch8Hv1PYtc9YI,0.585,241633,0.876,09JgeEUp7ch8Hv1PYtc9YI,0.108,10,0.105,-1.613,0,0.279,146.755,4,https://api.spotify.com/v1/tracks/09JgeEUp7ch8Hv1PYtc9YI,audio_features,spotify:track:09JgeEUp7ch8Hv1PYtc9YI,0.495
25,Pepper,0ZEudfjLbLF4zpktpR2SIL,0.204,https://api.spotify.com/v1/audio-analysis/0ZEudfjLbLF4zpktpR2SIL,0.658,180414,0.814,0ZEudfjLbLF4zpktpR2SIL,0.0482,1,0.354,-5.087,1,0.458,144.914,4,https://api.spotify.com/v1/tracks/0ZEudfjLbLF4zpktpR2SIL,audio_features,spotify:track:0ZEudfjLbLF4zpktpR2SIL,0.398
26,Nova,6CZ8yejJfVxxanZjRpduaE,0.0114,https://api.spotify.com/v1/audio-analysis/6CZ8yejJfVxxanZjRpduaE,0.916,191129,0.937,6CZ8yejJfVxxanZjRpduaE,4.02E-05,7,0.0695,-5.122,1,0.102,124.029,4,https://api.spotify.com/v1/tracks/6CZ8yejJfVxxanZjRpduaE,audio_features,spotify:track:6CZ8yejJfVxxanZjRpduaE,0.483
27,Vegas (feat. Sam King),27WHFpCiBXknY6YByJeBF5,0.0233,https://api.spotify.com/v1/audio-analysis/27WHFpCiBXknY6YByJeBF5,0.644,162462,0.626,27WHFpCiBXknY6YByJeBF5,2.76E-05,5,0.0448,-6.527,1,0.0323,129.861,4,https://api.spotify.com/v1/tracks/27WHFpCiBXknY6YByJeBF5,audio_features,spotify:track:27WHFpCiBXknY6YByJeBF5,0.292
28,Pepper,1NZuJAiqEnlq9gr1uaMhFc,0.136,https://api.spotify.com/v1/audio-analysis/1NZuJAiqEnlq9gr1uaMhFc,0.831,238345,0.628,1NZuJAiqEnlq9gr1uaMhFc,0.287,9,0.47,-5.152,1,0.423,72.494,4,https://api.spotify.com/v1/tracks/1NZuJAiqEnlq9gr1uaMhFc,audio_features,spotify:track:1NZuJAiqEnlq9gr1uaMhFc,0.186
29,Nova,02Fl58nfF0wlcs87GAN1W6,0.00556,https://api.spotify.com/v1/audio-analysis/02Fl58nfF0wlcs87GAN1W6,0.618,271577,0.907,02Fl58nfF0wlcs87GAN1W6,0.714,1,0.152,-3.88,1,0.145,172.026,4,https://api.spotify.com/v1/tracks/02Fl58nfF0wlcs87GAN1W6,audio_features,spotify:track:02Fl58nfF0wlcs87GAN1W6,0.429
30,Vegas (feat. Sam King),0Y7NjjqK6JuFUCVQNaH4Lo,0.000598,https://api.spotify.com/v1/audio-analysis/0Y7NjjqK6JuFUCVQNaH4Lo,0.732,230804,0.944,0Y7NjjqK6JuFUCVQNaH4Lo,0.000491,6,0.0984,-1.607,1,0.271,149.959,4,https://api.spotify.com/v1/tracks/0Y7NjjqK6JuFUCVQNaH4Lo,audio_features,spotify:track:0Y7NjjqK6JuFUCVQNaH4Lo,0.46
31,Technikal,34dXgQesbvLS0SzbcEy5mn,0.00299,https://api.spotify.com/v1/audio-analysis/34dXgQesbvLS0SzbcEy5mn,0.765,228750,0.865,34dXgQesbvLS0SzbcEy5mn,0.158,9,0.0978,-4.447,0,0.104,127.978,4,https://api.spotify.com/v1/tracks/34dXgQesbvLS0SzbcEy5mn,audio_features,spotify:track:34dXgQesbvLS0SzbcEy5mn,0.367
32,Get It Right,4SoXQCrPQplashFebNaUw3,0.108,https://api.spotify.com/v1/audio-analysis/4SoXQCrPQplashFebNaUw3,0.456,172500,0.833,4SoXQCrPQplashFebNaUw3,1.71E-05,0,0.0592,-4.242,1,0.0964,159.808,4,https://api.spotify.com/v1/tracks/4SoXQCrPQplashFebNaUw3,audio_features,spotify:track:4SoXQCrPQplashFebNaUw3,0.261
33,Almost Back (with Phoebe Ryan),4Vpjh5VlV7rnPZGqVJUxrV,0.454,https://api.spotify.com/v1/audio-analysis/4Vpjh5VlV7rnPZGqVJUxrV,0.805,203480,0.713,4Vpjh5VlV7rnPZGqVJUxrV,3.31E-05,2,0.145,-3.476,1,0.0908,119.024,4,https://api.spotify.com/v1/tracks/4Vpjh5VlV7rnPZGqVJUxrV,audio_features,spotify:track:4Vpjh5VlV7rnPZGqVJUxrV,0.256
